"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Screened passenger traffic at the largest airports in Canada","23100312",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310031201",1,"CURRENT - a cube available to the public and that is current","Monthly","2019-01-01","2024-09-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Screened traffic",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Calgary International, Alberta","","13","100000","",,
"1","Halifax/Robert L Stanfield International, Nova Scotia","","21","100000","",,
"1","Edmonton International, Alberta","","52","100000","",,
"1","Ottawa/Macdonald-Cartier International, Ontario","","76","100000","",,
"1","Montréal/Pierre Elliott Trudeau International, Quebec","","87","100000","",,
"1","Toronto/Lester B Pearson International, Ontario","","161","100000","",,
"1","Winnipeg/James Armstrong Richardson International, Manitoba","","163","100000","",,
"1","Vancouver International, British Columbia","","169","100000","",,
"1","Total of eight largest airports, Canada","","100000","","",2,
"2","Non-passengers","","5","1","",3,
"2","Total passengers","","6","1","",,
"2","Domestic sector passengers","","2","6","",,
"2","Transborder sector passengers","","3","6","",,
"2","Other International sector passengers","","4","6","",,
"2","Total screened traffic","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5404","Screened traffic at Canadian airports"

"Subject Code","Subject Name"
"23","Transportation"

"Note ID",Note
1,"Screened traffic includes both passengers and non-passengers screened at Pre-Board Screening (PBS) checkpoints at Canada's eight largest airports."
2,"The eight largest airports in Canada include: Halifax/Robert L. Stanfield, Montréal/Pierre Elliott Trudeau, Ottawa/Macdonald-Cartier, Toronto/Lester B. Pearson, Winnipeg/James Armstrong Richardson, Calgary International, Edmonton International and Vancouver International."
3,"Non-passenger data are comprised of non-passengers screened at Pre-Board Screening (PBS) checkpoints but does not include non-passengers screened at Non-Passenger Screening (NPS) checkpoints. Some examples of non-passengers screened at PBS checkpoints include flight and cabin crews as well as airport staff who aid passengers through the PBS checkpoints."

"Correction ID","Correction Date","Correction Note"
